Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Latin America and the Caribbean,"External debt, total debt service",Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.202,13.528,9.931,8.131,9.77,9.861,7.275,7.341,7.914,9.031,9.743,13.291,11.839,10.83,12.181,13.002,15.127,12.434,10.85,10.663,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service",Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.045,9.075,5.892,5.875,7.381,7.731,6.753,6.586,5.993,7.486,6.918,8.811,8.007,7.529,7.124,6.945,7.588,6.772,6.681,6.922,5.768,4.895,4.942,5.52,5.171,6.456,6.985,7.31,7.572,9.587,9.924,7.105,6.749,6.418,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service",Percent of GDP,,,3.35,3.426,3.512,5.457,7.972,8.582,7.109,6.116,6.621,5.7,5.452,6.591,7.805,8.928,9.468,7.068,7.407,7.179,6.836,9.683,9.204,11.005,6.431,4.808,4.196,6.067,8.115,5.547,6.528,5.611,3.491,3.814,3.677,4.361,4.24,6.14,5.497,5.05,7.23,6.637,6.38,7.232,7.655,6.163,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.546,34.335,31.284,31.068,36.352,34.511,35.853,32.958,38.238,39.085,37.762,38.917,40.722,34.053,30.361,30.69,28.121,26.511,26.845,33.751,27.623,27.094,30.85,34.287,39.137,46.288,41.582,37.01,38.821,41.988,47.998,38.801,36.458,37.248,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service",Percent of exports of goods and services,,,14.091,17.209,24.124,24.752,26.44,31.563,36.082,33.519,30.744,27.79,27.146,30.341,29.156,28.585,27.852,34.366,39.352,31.285,35.253,30.636,23.366,24.339,34.282,28.75,21.119,22.351,20.38,19.105,19.526,24.08,22.517,27.189,34.247,37.006,45.696,52.366,42.228,37.901,42.791,47.303,50.199,43.561,43.283,43.788,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service",Percent of exports of goods and services,,,38.528,27.102,26.076,23.572,54.978,64.634,64.813,57.618,50.739,47.761,49.408,45.515,23.487,22.691,16.662,14.802,14.715,15.982,27.551,36.132,50.179,47.297,44.252,36.941,38.452,44.306,45.284,48.697,50.68,62.41,52.617,47.153,48.898,54.287,55.603,55.556,53.046,45.038,44.007,41.74,49.149,37.632,33.942,35.588,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.285,58.525,42.741,37.053,37.928,53.097,37.885,33.4,37.189,41.661,44.622,55.362,54.85,49.279,47.042,51.898,60.767,43.556,37.991,39.297,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.418,23.205,17.507,18.546,24.047,25.597,22.566,23.103,26.328,31.073,25.264,27.556,23.748,20.527,17.544,15.225,16.507,14.991,13.583,17.593,13.907,10.521,10.192,12.02,11.952,17.382,20.841,19.542,18.787,21.736,30.069,20.99,19.378,19.911,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.837,26.651,33.825,29.999,43.82,36.051,36.906,39.576,40.769,38.998,31.11,31.916,27.329,20.174,16.895,20.767,27.201,19.039,17.987,23.043,13.24,11.296,12.384,14.872,15.928,24.652,26.433,23.116,27.478,28.058,33.194,29.461,29.217,25.526,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, interest",U.S. dollars,Billions,,n/a,n/a,n/a,n/a,50.451,55.165,53.12,53.569,57.849,61.654,60.314,67.505,76.574,78.444,77.161,93.279,99.034,100.065,114.713,128.392,126.542,123.123,108.79,113.626,121.189,138.124,158.014,186.251,200.108,178.256,181.234,212.555,241.417,265.846,290.917,285.864,286.777,321.859,381.455,418.588,420.399,416.308,468.358,516.648,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, interest",U.S. dollars,Billions,,4.149,5.911,7.376,7.533,9.25,9.996,10.841,12.117,13.26,14.618,12.256,17.024,18.524,19.025,22.242,26.294,28.871,26.458,31.753,30.145,30.893,30.051,27.361,27.426,27.951,33.637,37.489,46.385,49.173,49.872,57.441,75.453,91.09,107.954,128.174,124.193,117.222,141.447,169.907,193.442,222.686,239.793,258.391,262.542,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, interest",U.S. dollars,Billions,,5.415,6.036,5.886,4.977,4.505,8.688,8.694,9.43,9.513,10.28,7.191,6.09,12.141,11.753,10.269,14.774,14.135,15.793,24.529,22.721,24.015,22.046,19.981,21.138,25.586,29.395,38.589,48.462,63.588,54.12,50.646,57.36,60.02,63.97,60.514,49.317,45.857,39.779,44.585,45.55,41.624,39.237,41.916,51.245,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, interest",U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.802,53.381,47.728,49.423,50.098,43.941,43.692,49.072,56.577,59.564,63.247,66.413,69.121,80.087,91.409,97.604,86.289,77.336,86.856,98.535,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, interest",U.S. dollars,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.277,10.88,9.079,11.32,10.533,12.658,13.194,13.872,13.487,12.786,14.586,17.373,13.089,16.515,15.778,15.672,26.122,36.449,31.132,25.388,23.456,23.92,25.472,25.543,27.941,32.686,41.246,46.541,57.674,63.259,51.765,41.656,62.683,83.837,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, interest",U.S. dollars,Billions,,3.301,3.541,3.144,3.457,3.234,3.887,4.041,4.385,4.65,4.894,4.41,8.822,13.398,9.614,7.562,6.933,8.77,8.275,7.276,6.868,5.346,5.945,6.483,5.979,5.073,6.038,8.087,5.533,6.116,4.936,5.998,6.75,8.259,8.815,11.04,13.256,13.33,14.005,17.88,18.733,18.035,18.286,18.511,20.489,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, interest",Percent of GDP,,,n/a,n/a,n/a,n/a,1.875,2.023,1.896,1.734,1.702,1.659,1.151,1.398,1.835,1.659,1.51,1.589,1.509,1.435,1.705,1.969,1.768,1.715,1.523,1.41,1.265,1.206,1.166,1.116,0.998,0.93,0.787,0.784,0.841,0.873,0.926,0.968,0.97,0.994,1.099,1.173,1.213,1.017,1.014,1.054,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, interest",Percent of GDP,,,0.541,0.776,0.948,0.916,1.072,1.191,1.256,1.282,1.257,1.301,1.086,1.497,1.439,1.307,1.463,1.446,1.402,1.237,1.603,1.387,1.323,1.22,1.014,0.891,0.783,0.815,0.766,0.748,0.659,0.615,0.588,0.647,0.708,0.767,0.843,0.785,0.72,0.79,0.861,0.941,1.07,0.98,0.937,0.887,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, interest",Percent of GDP,,,2.109,2.255,2.161,1.84,1.729,3.22,3.042,3.083,2.769,2.854,0.508,0.502,2.429,1.748,1.391,1.665,1.396,1.473,2.564,2.749,2.629,2.359,1.884,1.615,1.514,1.402,1.543,1.513,1.616,1.755,1.411,1.368,1.388,1.399,1.405,1.475,1.396,1.073,1.154,1.156,1.131,0.913,0.92,1.077,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, interest",Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.086,1.958,1.491,1.301,1.132,1.073,0.856,0.831,0.944,0.983,1.053,1.306,1.409,1.467,1.718,1.874,1.987,1.537,1.515,1.619,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, interest",Percent of GDP,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.916,1.345,1.514,1.766,1.533,1.63,1.498,1.485,1.427,1.2,1.159,1.438,1.278,1.418,1.129,0.917,1.277,1.492,1.029,0.932,0.736,0.635,0.66,0.639,0.683,0.896,1.146,1.253,1.425,1.509,1.248,0.794,0.999,1.309,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, interest",Percent of GDP,,,1.04,1.055,0.929,1.109,1.307,1.721,1.569,1.567,1.542,1.593,1.071,2.112,3.228,2.322,1.882,1.404,1.589,1.441,1.264,1.636,1.26,1.467,1.483,1.087,0.75,0.759,0.886,0.526,0.508,0.426,0.437,0.429,0.499,0.507,0.608,0.817,0.883,0.868,1.021,1.063,1.083,0.975,0.909,0.938,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, interest",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,17.409,14.655,14.372,13.759,10.37,10.912,9.23,9.671,8.28,8.197,7.727,6.963,8.571,9.184,7.232,7.115,5.782,4.973,4.096,3.733,3.527,3.454,3.045,3.417,2.759,2.615,2.85,3.039,3.308,3.761,3.928,3.901,4.152,4.618,5.114,3.896,3.858,4.171,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, interest",Percent of exports of goods and services,,,6.146,7.347,10.084,10.483,11.45,13.113,13.727,12.679,11.383,10.67,7.307,8.999,7.426,6.782,6.599,6.518,6.512,4.976,6.227,5.66,4.777,4.688,3.735,3.045,2.385,2.348,2.118,2.132,1.924,2.268,2.018,2.199,2.508,2.8,3.202,3.284,3.204,3.462,3.811,4.353,5.094,4.288,4.236,4.164,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, interest",Percent of exports of goods and services,,,13.97,15.407,14.1,12.158,10.11,22.076,21.996,21.123,19.119,21.404,13.641,11.111,8.379,8.083,6.206,6.587,5.518,5.88,9.573,9.559,8.222,7.276,5.975,4.985,4.588,4.257,4.646,4.763,4.903,5.739,4.501,4.101,4.229,4.343,4.121,4.142,4.029,2.986,2.911,2.989,3.093,2.193,2.217,2.606,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, interest",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.856,19.377,13.631,12.872,11.191,10.39,9.425,9.008,6.795,6.198,5.509,5.967,4.703,4.337,4.826,5.068,5.424,6.389,6.765,7.038,7.423,7.976,8.105,5.686,5.588,6.258,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, interest",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.194,6.745,4.992,6.147,5.597,5.87,5.317,5.509,6.634,5.342,4.503,5.593,3.977,4.022,2.86,2.093,2.873,3.367,2.195,2.446,1.832,1.415,1.436,1.441,1.634,2.612,3.53,3.496,3.721,4.308,4.664,2.754,3.012,4.125,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, interest",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,8.36,7.175,7.449,7.798,n/a,n/a,n/a,12.935,9.518,6.703,n/a,7.31,7.457,6.299,4.917,5.672,5.872,4.306,2.827,2.599,3.024,1.733,1.567,1.646,1.555,1.424,1.75,1.875,2.477,3.937,4.266,3.859,4.306,4.638,5.485,4.219,3.609,4.023,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, amortization",U.S. dollars,Billions,,47.914,55.643,58.144,54.061,68.36,74.092,92.688,93.654,106.565,123.381,128.284,150.437,169.164,174.671,262.884,299.903,348.74,387.948,412.159,437.392,538.204,555.034,660.689,670.66,784.166,999.948,"1,108.91","1,247.13","1,571.18","1,586.17","1,639.56","2,000.34","2,378.65","2,737.17","3,155.32","3,237.83","2,754.09","2,735.26","3,188.21","3,390.03","3,528.13","3,731.41","3,958.91","4,099.98",n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, amortization",U.S. dollars,Billions,,5.844,8.07,11.287,12.486,15.864,20.276,23.307,25.112,27.345,32.734,34.852,42.425,53.346,60.013,71.491,101.48,119.185,139.904,148.059,133.022,120.258,125.987,223.794,231.509,219.566,286.498,323.236,369.228,449.94,479.545,583.651,857.623,"1,152.78","1,318.90","1,701.06","1,856.45","1,428.03","1,407.23","1,737.88","1,908.44","1,971.57","2,195.73","2,381.99","2,498.56",n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, amortization",U.S. dollars,Billions,,9.16,4.891,6.116,4.962,17.796,16.785,17.234,17.084,18.664,12.658,18.854,21.859,21.674,15.602,19.603,20.269,24.597,28.484,46.757,64.115,122.554,121.268,128.001,135.5,188.826,276.574,337.502,447.058,593.649,534.438,541.339,602.224,633.981,735.604,756.003,612.175,557.869,560.174,629.398,590.546,619.859,633.924,599.844,648.603,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, amortization",U.S. dollars,Billions,,20.435,27.539,25.505,18.63,15.461,16.326,30.853,29.772,37.164,54.033,35.882,47.611,58.025,62.686,112.387,110.62,135.114,145.014,149.47,149.858,200.347,212.048,220.134,213.817,269.521,296.323,259.587,249.743,301.977,350.771,314.935,339.704,386.373,433.993,461.797,514.614,496.587,484.281,491.136,540.486,563.612,516.56,505.126,522.518,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, amortization",U.S. dollars,Billions,,5.282,8.385,6.64,7.507,7.442,n/a,n/a,9.041,n/a,n/a,23.599,26.551,22.764,22.843,34.519,42.537,42.802,44.296,40.04,61.585,67.254,68.225,65.07,67.803,81.006,98.345,123.938,125.839,161.516,157.24,154.566,153.996,155.355,187.583,176.512,184.849,202.335,213.683,233.574,255.966,281.973,275.793,340.585,320.807,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, amortization",U.S. dollars,Billions,,7.193,6.759,8.597,10.477,11.797,12.982,13.056,12.645,13.335,12.018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.791,27.506,23.689,22.032,25.247,42.208,64.649,55.263,64.098,64.179,45.072,46.795,50.168,61.091,59.947,69.748,69.276,69.891,96.222,94.596,91.111,109.401,131.363,109.496,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, amortization",Percent of GDP,,,1.738,1.931,2.13,2.013,2.541,2.718,3.308,3.032,3.136,3.32,2.447,3.116,4.054,3.695,5.144,5.108,5.313,5.562,6.125,6.706,7.521,7.73,9.25,8.324,8.187,8.731,8.184,7.47,7.838,8.277,7.122,7.381,8.291,8.99,10.04,10.965,9.313,8.445,9.184,9.504,10.18,9.117,8.575,8.362,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, amortization",Percent of GDP,,,0.762,1.059,1.451,1.519,1.838,2.415,2.7,2.658,2.593,2.913,3.087,3.73,4.144,4.122,4.703,5.581,5.787,6.542,7.475,6.118,5.151,5.113,8.29,7.521,6.149,6.944,6.608,5.957,6.034,5.917,5.975,7.351,8.962,9.369,11.184,11.731,8.775,7.863,8.807,9.279,9.47,8.971,8.642,8.443,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, amortization",Percent of GDP,,,3.568,1.827,2.246,1.834,6.829,6.221,6.029,5.586,5.432,3.515,1.332,1.802,4.337,2.321,2.655,2.284,2.43,2.656,4.887,7.756,13.416,12.975,12.067,10.35,11.176,13.193,13.498,13.957,15.088,17.334,15.086,14.357,14.663,16.083,17.554,18.305,16.98,15.115,16.284,14.988,16.843,14.75,13.166,13.627,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, amortization",Percent of GDP,,,2.366,2.951,3.331,2.673,2.129,2.095,3.981,3.62,4.011,5.193,3.086,3.806,4.234,4.059,6.374,5.835,6.562,6.429,6.583,7.362,9.002,9.779,11.459,10.937,12.014,10.867,8.11,6.576,6.825,8.568,6.167,5.756,6.45,7.16,7.69,10.116,10.125,8.872,9.233,10.378,12.976,10.263,8.809,8.586,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, amortization",Percent of GDP,,,0.958,1.44,1.154,1.284,1.254,n/a,n/a,1.229,n/a,n/a,2.102,3.283,3.795,3.564,5.024,5.478,4.861,4.743,4.237,5.778,5.344,5.647,6.352,5.821,5.795,5.756,6.061,5.151,5.339,5.772,4.853,4.089,4.027,4.696,4.314,5.066,5.623,5.752,5.769,6.107,6.798,5.258,5.426,5.008,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, amortization",Percent of GDP,,,2.266,2.013,2.539,3.36,4.77,5.746,5.071,4.518,4.422,3.911,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.551,6.789,5.421,4.005,3.734,5.307,7.085,5.253,5.322,5.541,3.284,2.973,3.03,3.513,3.303,4.299,4.591,4.33,5.495,5.368,5.471,5.833,6.448,5.014,n/a,n/a,n/a,n/a,
Emerging market and developing economies,"External debt, total debt service, amortization",Percent of exports of goods and services,,,10.137,11.343,13.094,13.072,15.884,17.852,25.812,22.143,22.639,23.537,20.584,23.095,21.321,21.564,27.676,26.109,28.056,26.696,30.209,30.671,30.194,31.574,34.621,29.006,26.155,26.645,24.386,22.82,23.557,30.056,24.701,24.32,27.759,30.97,35.567,42.378,37.574,33.01,34.571,37.313,42.871,34.882,32.562,33.041,n/a,n/a,n/a,n/a,
Emerging and developing Asia,"External debt, total debt service, amortization",Percent of exports of goods and services,,,8.02,9.967,14.05,14.187,14.794,18.436,22.091,20.992,19.421,17.053,19.745,21.33,21.73,21.803,21.253,27.848,32.855,26.315,29.036,24.982,18.595,19.656,30.551,25.709,18.737,20.006,18.264,16.974,17.604,21.815,20.501,24.993,31.742,34.21,42.499,49.087,39.029,34.443,38.984,42.953,45.106,39.272,39.048,39.626,n/a,n/a,n/a,n/a,
Emerging and developing Europe,"External debt, total debt service, amortization",Percent of exports of goods and services,,,24.558,11.695,11.976,11.413,44.868,42.557,42.817,36.494,31.62,26.357,35.767,34.404,15.108,14.607,10.456,8.215,9.197,10.101,17.978,26.573,41.957,40.021,38.277,31.956,33.863,40.049,40.638,43.935,45.777,56.671,48.115,43.052,44.669,49.944,51.483,51.414,49.017,42.052,41.096,38.751,46.056,35.438,31.725,32.983,n/a,n/a,n/a,n/a,
Latin America and the Caribbean,"External debt, total debt service, amortization",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,33.554,28.389,30.826,40.829,21.741,29.041,33.613,33.97,53.407,42.573,46.6,45.236,46.853,44.458,48.424,53.232,54.874,48.93,50.258,45.775,33.766,28.749,29.999,44.076,31.583,27.694,30.435,34.296,37.163,47.721,47.274,41.288,38.8,43.431,52.537,37.664,32.109,32.754,n/a,n/a,n/a,n/a,
Middle East and Central Asia,"External debt, total debt service, amortization",Percent of exports of goods and services,,,2.549,3.822,3.775,5.292,5.662,6.753,10.106,9.277,10.319,9.931,14.224,16.46,12.516,12.399,18.45,19.727,17.249,17.593,19.694,25.73,20.761,21.963,19.736,16.473,14.658,13.106,13.609,11.606,11.374,15.117,12.051,9.091,8.745,10.572,10.31,14.756,17.298,16.036,15.053,17.412,25.373,18.235,16.366,15.786,n/a,n/a,n/a,n/a,
Sub-Saharan Africa,"External debt, total debt service, amortization",Percent of exports of goods and services,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.989,n/a,26.193,26.244,21.457,15.868,14.068,18.168,24.177,17.306,16.42,21.397,11.685,9.872,10.633,12.997,13.451,20.715,22.168,19.257,23.172,23.42,27.709,25.242,25.608,21.502,n/a,n/a,n/a,n/a,
World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.169,49.801,52.109,55.798,59.59,56.123,47.306,47.983,60.391,56.192,55.851,65.644,79.167,97.715,114.121,129.182,162.639,115.971,145.364,181.474,172.518,167.838,156.809,107.891,100,113.289,126.19,116.863,105.874,161.265,227.208,225.298,205.312,191.1,184.801,181.119,
World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.141,52.995,58.621,62.642,63.068,59.457,54.194,49.398,51.055,48.941,50.913,57.551,66.147,71.472,87.026,102.222,114.171,97.486,122.485,147.049,135.545,128.273,120.878,100.274,100,106.445,107.812,108.46,115.556,145.92,156.542,146.767,145.744,145.202,145.554,145.873,
World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.559,52.574,60.533,70.039,63.383,61.133,49.656,49.634,54.876,48.404,48.635,56.571,71.787,83.66,120.908,144.253,134.286,113.946,169.463,195.612,159.517,153.141,136.066,104.061,100,117.409,123.803,125.747,128.133,179.244,172.005,153.039,151.376,150.995,151.183,151.562,
World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",U.S. dollars,Units,,37.919,36.949,32.948,29.81,28.743,27.624,14.439,18.17,14.723,17.832,22.86,19.379,18.997,16.801,15.921,17.213,20.466,19.269,13.176,18.128,28.387,24.402,24.934,28.828,37.715,53.513,64.408,71.214,96.79,61.404,79.026,103.829,103.698,103.578,94.055,50.821,43.223,52.861,66.15,61.214,41.829,69.415,98.186,85.518,80.198,76.249,73.275,70.995,
World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",U.S. dollars,Units,,37.919,36.949,32.948,29.81,28.743,27.624,14.474,18.408,14.964,18.23,23.707,20.075,19.358,17.085,15.96,17.199,20.809,19.31,13.126,18.108,28.845,24.714,25.115,28.779,38.234,54.684,65.605,72.653,97.33,61.581,79.807,111.539,112.012,108.962,99.345,53.023,45.079,54.887,71.613,64.198,43.334,70.831,100.527,88.637,83.435,79.624,76.812,74.64,
World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",U.S. dollars,Units,,35.846,34.294,31.757,28.468,27.509,26.508,13.039,16.949,13.261,15.692,20.468,16.589,17.176,14.965,14.705,16.128,18.526,18.154,12.213,17.191,26.23,22.822,23.774,26.811,33.76,49.358,61.517,68.571,93.407,61.205,78.198,105.604,109.097,105.604,96.514,50.908,41.47,53.138,69.17,63.162,42.607,68.961,97.262,84.415,79.197,75.386,72.574,70.535,
World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",U.S. dollars,Units,,37.879,36.168,32.67,30.604,29.388,27.992,15.066,19.152,15.946,19.573,24.404,21.474,20.457,18.354,17.097,18.313,22.063,20.342,14.189,19.083,30.086,25.672,25.914,30.895,41.153,56.496,66.102,72.419,99.634,61.426,79.074,94.346,89.986,96.168,86.305,48.532,43.12,50.558,57.669,56.281,39.547,68.453,96.77,83.502,77.961,73.736,70.438,67.81,
World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.9,44.871,42.331,45.596,54.291,50.916,37.221,45.813,73.531,66.255,62.452,77.352,98,135.675,153.314,168.179,232.747,142.709,178.457,231.27,226,225.068,208.782,118.91,100,123.19,152.773,129.018,91.869,183.461,329.425,338.89,291.477,257.491,241.571,232.101,
World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","Index, 2016=100",,,86.134,82.846,75.144,68.583,66.083,63.372,32.83,42.04,34.05,41.224,52.847,44.779,43.934,38.85,36.838,39.838,47.333,44.596,30.492,41.96,65.671,56.464,57.712,66.714,87.22,123.784,149.058,164.823,224.071,142.217,182.995,240.293,240.081,239.797,217.755,117.644,100,122.382,153.132,141.748,96.862,160.723,227.32,197.944,185.621,176.473,169.585,164.308,
World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices","Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.745,63.624,57.432,58.839,73.662,69.425,56.795,58.339,106.154,102.277,84.139,120.93,132.299,192.954,186.969,191.204,268.2,152.893,162.269,203.064,208.984,212.046,212.113,139.385,100,115.885,144.582,91.526,71.714,253.674,645.994,817.657,642.871,514.633,455.656,425.254,
World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,3.81,3.44,2.13,1.9,1.589,2.035,3.008,2.365,2.598,2.312,2.696,2.75,2.67,2.245,1.807,3.454,3.873,2.666,3.486,3.755,5.915,8.213,8.143,13.138,8.855,8.223,10.597,11.981,11.189,10.463,7.305,4.353,5.744,7.916,4.455,3.178,15.907,48.041,62.373,41.711,25.523,18.033,14.145,
World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,4.366,18.6,40.485,57.415,57.415,57.415,57.415,57.415,
World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.451,1.751,2.114,1.915,1.704,2.689,2.46,2.088,2.261,4.308,3.959,3.361,5.507,5.908,8.895,6.74,6.982,8.858,3.946,4.386,4,2.752,3.728,4.276,2.63,2.553,3.019,3.069,2.529,2.13,3.716,7.408,6.341,5.071,4.743,4.619,4.57,
